# Solver information
# Time        	alpha.water_solver	alpha.water_initial	alpha.water_final	alpha.water_iters	alpha.water_converged	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
0.816955      	smoothSolver	3.562550e-03	3.652130e-09	3	true	DICPCG	1.168620e-02	5.621590e-04	1	true
0.822491      	smoothSolver	3.577850e-03	3.472440e-09	3	true	DICPCG	1.182950e-02	5.894960e-04	1	true
0.828028      	smoothSolver	3.594840e-03	3.324880e-09	3	true	DICPCG	1.166500e-02	2.083560e-04	2	true
0.833564      	smoothSolver	3.605600e-03	3.245880e-09	3	true	DICPCG	1.171090e-02	2.120480e-04	2	true
0.8391        	smoothSolver	3.622350e-03	3.223340e-09	3	true	DICPCG	1.157220e-02	2.147810e-04	2	true
0.844637      	smoothSolver	3.632080e-03	3.204090e-09	3	true	DICPCG	1.164440e-02	2.167180e-04	2	true
0.850173      	smoothSolver	3.644990e-03	3.183000e-09	3	true	DICPCG	1.185540e-02	2.218160e-04	2	true
0.855709      	smoothSolver	3.658810e-03	3.150070e-09	3	true	DICPCG	1.146010e-02	2.237290e-04	2	true
0.861246      	smoothSolver	3.674430e-03	3.127500e-09	3	true	DICPCG	1.129170e-02	2.266450e-04	2	true
0.867705      	smoothSolver	4.293100e-03	7.169940e-09	3	true	DICPCG	1.285330e-02	2.710890e-04	2	true
0.874164      	smoothSolver	4.309340e-03	7.124840e-09	3	true	DICPCG	1.259370e-02	2.679870e-04	2	true
0.880623      	smoothSolver	4.323450e-03	7.096610e-09	3	true	DICPCG	1.243430e-02	2.624170e-04	2	true
0.887082      	smoothSolver	4.336960e-03	7.075670e-09	3	true	DICPCG	1.249600e-02	2.740990e-04	2	true
0.893541      	smoothSolver	4.351650e-03	7.076650e-09	3	true	DICPCG	1.203370e-02	2.680690e-04	2	true
0.9           	smoothSolver	4.356990e-03	7.098510e-09	3	true	DICPCG	1.210730e-02	2.646730e-04	2	true
0.905556      	smoothSolver	3.750580e-03	3.119740e-09	3	true	DICPCG	1.044370e-02	2.348530e-04	2	true
0.911111      	smoothSolver	3.747160e-03	3.143490e-09	3	true	DICPCG	1.034630e-02	2.323720e-04	2	true
0.91634       	smoothSolver	3.527440e-03	2.263850e-09	3	true	DICPCG	9.724480e-03	2.203190e-04	2	true
0.921569      	smoothSolver	3.523790e-03	2.290760e-09	3	true	DICPCG	9.972540e-03	2.198930e-04	2	true
0.926471      	smoothSolver	3.304250e-03	1.613040e-09	3	true	DICPCG	9.365370e-03	2.042310e-04	2	true
0.931373      	smoothSolver	3.306180e-03	1.631070e-09	3	true	DICPCG	9.570930e-03	2.019170e-04	2	true
0.936275      	smoothSolver	3.307260e-03	1.652590e-09	3	true	DICPCG	9.861400e-03	1.936340e-04	2	true
0.941176      	smoothSolver	3.304820e-03	1.675830e-09	3	true	DICPCG	9.964430e-03	4.495620e-04	1	true
0.945701      	smoothSolver	3.045430e-03	1.077380e-09	3	true	DICPCG	9.739930e-03	3.765650e-04	1	true
0.950226      	smoothSolver	3.047740e-03	1.098150e-09	3	true	DICPCG	9.730720e-03	3.789280e-04	1	true
0.954751      	smoothSolver	3.049130e-03	1.119830e-09	3	true	DICPCG	9.651370e-03	3.736360e-04	1	true
0.959276      	smoothSolver	3.048570e-03	1.144660e-09	3	true	DICPCG	9.572040e-03	3.734830e-04	1	true
0.963801      	smoothSolver	3.047720e-03	1.168800e-09	3	true	DICPCG	9.485150e-03	3.775960e-04	1	true
0.967823      	smoothSolver	2.704030e-03	6.052700e-10	3	true	DICPCG	8.434300e-03	3.464030e-04	1	true
0.971845      	smoothSolver	2.698120e-03	6.165600e-10	3	true	DICPCG	8.395210e-03	3.535070e-04	1	true
0.975867      	smoothSolver	2.692560e-03	6.233900e-10	3	true	DICPCG	8.264140e-03	3.481020e-04	1	true
0.979889      	smoothSolver	2.684510e-03	6.244400e-10	3	true	DICPCG	8.011040e-03	3.426360e-04	1	true
0.983912      	smoothSolver	2.673590e-03	6.233830e-10	3	true	DICPCG	7.853630e-03	3.493740e-04	1	true
0.987934      	smoothSolver	2.661000e-03	6.166960e-10	3	true	DICPCG	7.729700e-03	3.477280e-04	1	true
0.991956      	smoothSolver	2.643390e-03	6.074290e-10	3	true	DICPCG	7.689600e-03	3.471140e-04	1	true
0.995978      	smoothSolver	2.626760e-03	5.939500e-10	3	true	DICPCG	7.626700e-03	3.444710e-04	1	true
1             	smoothSolver	2.614050e-03	5.791980e-10	3	true	DICPCG	7.571070e-03	3.389350e-04	1	true
1.00417       	smoothSolver	2.693900e-03	6.918970e-10	3	true	DICPCG	7.775560e-03	3.563130e-04	1	true
1.00833       	smoothSolver	2.680840e-03	6.715500e-10	3	true	DICPCG	7.645700e-03	2.556730e-04	1	true
1.0127        	smoothSolver	2.794550e-03	8.554070e-10	3	true	DICPCG	7.850260e-03	2.709620e-04	1	true
1.01706       	smoothSolver	2.777160e-03	8.272160e-10	3	true	DICPCG	7.771250e-03	2.735080e-04	1	true
1.02167       	smoothSolver	2.914490e-03	1.095110e-09	3	true	DICPCG	8.034650e-03	2.928750e-04	1	true
1.02628       	smoothSolver	2.901020e-03	1.054510e-09	3	true	DICPCG	7.902140e-03	2.961120e-04	1	true
1.03089       	smoothSolver	2.884390e-03	1.014550e-09	3	true	DICPCG	7.778160e-03	2.791210e-04	1	true
1.03549       	smoothSolver	2.867340e-03	9.761790e-10	3	true	DICPCG	7.582130e-03	2.817540e-04	1	true
1.0401        	smoothSolver	2.852550e-03	9.379960e-10	3	true	DICPCG	7.457550e-03	2.894810e-04	1	true
1.04471       	smoothSolver	2.836810e-03	9.058960e-10	3	true	DICPCG	7.373150e-03	2.980880e-04	1	true
1.04974       	smoothSolver	3.077150e-03	1.454630e-09	3	true	DICPCG	7.922440e-03	3.068360e-04	1	true
1.05476       	smoothSolver	3.055100e-03	1.403020e-09	3	true	DICPCG	7.829600e-03	3.084400e-04	1	true
1.05979       	smoothSolver	3.033240e-03	1.356390e-09	3	true	DICPCG	7.638020e-03	3.035840e-04	1	true
1.06481       	smoothSolver	3.013820e-03	1.320270e-09	3	true	DICPCG	7.607840e-03	2.947530e-04	1	true
1.06984       	smoothSolver	2.995920e-03	1.285870e-09	3	true	DICPCG	7.481190e-03	3.051730e-04	1	true
1.07487       	smoothSolver	2.976490e-03	1.254360e-09	3	true	DICPCG	7.295820e-03	2.883630e-04	1	true
1.07989       	smoothSolver	2.953400e-03	1.225420e-09	3	true	DICPCG	7.265570e-03	2.959730e-04	1	true
1.08492       	smoothSolver	2.930680e-03	1.196900e-09	3	true	DICPCG	7.072150e-03	2.805690e-04	1	true
1.08995       	smoothSolver	2.910870e-03	1.168520e-09	3	true	DICPCG	7.088280e-03	2.891770e-04	1	true
1.09497       	smoothSolver	2.895020e-03	1.141530e-09	3	true	DICPCG	7.096700e-03	2.797240e-04	1	true
1.1           	smoothSolver	2.885310e-03	1.116170e-09	3	true	DICPCG	6.989230e-03	2.692570e-04	1	true
1.10556       	smoothSolver	3.180020e-03	1.942010e-09	3	true	DICPCG	7.707930e-03	2.882530e-04	1	true
1.11146       	smoothSolver	3.368100e-03	2.682120e-09	3	true	DICPCG	8.216950e-03	2.499060e-04	1	true
1.11778       	smoothSolver	3.599330e-03	3.875140e-09	3	true	DICPCG	9.589990e-03	2.088500e-04	1	true
1.12411       	smoothSolver	3.591120e-03	3.803650e-09	3	true	DICPCG	9.473340e-03	1.988460e-04	1	true
1.13043       	smoothSolver	3.582110e-03	3.755500e-09	3	true	DICPCG	9.403690e-03	2.027470e-04	1	true
1.13676       	smoothSolver	3.574450e-03	3.721850e-09	3	true	DICPCG	9.361210e-03	2.077850e-04	1	true
1.14308       	smoothSolver	3.566660e-03	3.687730e-09	3	true	DICPCG	9.337940e-03	2.173630e-04	1	true
1.1494        	smoothSolver	3.560090e-03	3.643180e-09	3	true	DICPCG	9.235810e-03	2.276750e-04	1	true
1.15573       	smoothSolver	3.551210e-03	3.579140e-09	3	true	DICPCG	9.158600e-03	2.383160e-04	1	true
1.16205       	smoothSolver	3.542600e-03	3.498820e-09	3	true	DICPCG	9.050970e-03	2.461260e-04	1	true
1.16838       	smoothSolver	3.536310e-03	3.403120e-09	3	true	DICPCG	8.946770e-03	2.470570e-04	1	true
1.1747        	smoothSolver	3.530160e-03	3.310140e-09	3	true	DICPCG	8.904130e-03	2.541630e-04	1	true
1.18103       	smoothSolver	3.529290e-03	3.231570e-09	3	true	DICPCG	8.861840e-03	2.655610e-04	1	true
1.18735       	smoothSolver	3.528410e-03	3.173420e-09	3	true	DICPCG	8.851490e-03	2.790130e-04	1	true
1.19368       	smoothSolver	3.527980e-03	3.136660e-09	3	true	DICPCG	8.769100e-03	2.880670e-04	1	true
1.2           	smoothSolver	3.531130e-03	3.116450e-09	3	true	DICPCG	8.642140e-03	2.812110e-04	1	true
1.20667       	smoothSolver	3.726280e-03	4.173310e-09	3	true	DICPCG	9.131200e-03	3.111620e-04	1	true
1.21333       	smoothSolver	3.734080e-03	4.158890e-09	3	true	DICPCG	9.010180e-03	3.202760e-04	1	true
1.22          	smoothSolver	3.744720e-03	4.136750e-09	3	true	DICPCG	8.940510e-03	3.111080e-04	1	true
1.22667       	smoothSolver	3.752240e-03	4.109880e-09	3	true	DICPCG	9.101000e-03	3.032450e-04	1	true
1.23278       	smoothSolver	3.447120e-03	2.514410e-09	3	true	DICPCG	8.402620e-03	2.865540e-04	1	true
1.23889       	smoothSolver	3.453320e-03	2.519770e-09	3	true	DICPCG	8.320330e-03	2.961260e-04	1	true
1.245         	smoothSolver	3.461120e-03	2.519050e-09	3	true	DICPCG	8.217990e-03	2.913040e-04	1	true
1.25111       	smoothSolver	3.467420e-03	2.512210e-09	3	true	DICPCG	8.123370e-03	3.022180e-04	1	true
1.25722       	smoothSolver	3.474580e-03	2.495410e-09	3	true	DICPCG	8.035580e-03	3.060480e-04	1	true
1.26333       	smoothSolver	3.480380e-03	2.478130e-09	3	true	DICPCG	8.045720e-03	3.062800e-04	1	true
1.26944       	smoothSolver	3.485880e-03	2.446950e-09	3	true	DICPCG	8.001840e-03	3.303900e-04	1	true
1.27556       	smoothSolver	3.493430e-03	2.394230e-09	3	true	DICPCG	7.982300e-03	3.228420e-04	1	true
1.28167       	smoothSolver	3.504410e-03	2.337140e-09	3	true	DICPCG	7.958190e-03	3.440420e-04	1	true
1.28778       	smoothSolver	3.514120e-03	2.279110e-09	3	true	DICPCG	7.913770e-03	3.538060e-04	1	true
1.29389       	smoothSolver	3.523660e-03	2.229590e-09	3	true	DICPCG	7.930300e-03	3.654940e-04	1	true
1.3           	smoothSolver	3.532480e-03	2.190750e-09	3	true	DICPCG	7.968170e-03	3.412450e-04	1	true
1.30556       	smoothSolver	3.216750e-03	1.264560e-09	3	true	DICPCG	7.257410e-03	3.017030e-04	1	true
1.31111       	smoothSolver	3.218680e-03	1.257120e-09	3	true	DICPCG	7.705340e-03	3.061560e-04	1	true
1.31667       	smoothSolver	3.222850e-03	1.242100e-09	3	true	DICPCG	7.769030e-03	3.061670e-04	1	true
1.32222       	smoothSolver	3.228300e-03	1.223100e-09	3	true	DICPCG	7.697510e-03	3.018760e-04	1	true
1.32778       	smoothSolver	3.232080e-03	1.198700e-09	3	true	DICPCG	7.695950e-03	3.017970e-04	1	true
1.33333       	smoothSolver	3.235280e-03	1.170410e-09	3	true	DICPCG	7.598990e-03	2.997890e-04	1	true
1.33889       	smoothSolver	3.235280e-03	1.136780e-09	3	true	DICPCG	7.483700e-03	2.827900e-04	1	true
1.34444       	smoothSolver	3.233760e-03	1.099380e-09	3	true	DICPCG	7.645200e-03	2.009390e-04	1	true
1.35          	smoothSolver	3.232230e-03	1.063860e-09	3	true	DICPCG	7.833210e-03	1.846930e-04	1	true
1.35556       	smoothSolver	3.229790e-03	1.028610e-09	3	true	DICPCG	7.849470e-03	1.877330e-04	1	true
1.36111       	smoothSolver	3.224170e-03	9.869990e-10	3	true	DICPCG	7.859320e-03	1.922460e-04	1	true
