# Solver information
# Time        	alpha.water_solver	alpha.water_initial	alpha.water_final	alpha.water_iters	alpha.water_converged	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
0.452349      	smoothSolver	3.905210e-04	2.747980e-09	2	true	DICPCG	2.453800e-03	1.003100e-04	2	true
0.452992      	smoothSolver	4.006730e-04	2.949360e-09	2	true	DICPCG	2.498440e-03	9.667380e-05	2	true
0.453655      	smoothSolver	4.114720e-04	3.249070e-09	2	true	DICPCG	2.583510e-03	9.555170e-05	2	true
0.454336      	smoothSolver	4.229350e-04	3.671320e-09	2	true	DICPCG	2.681590e-03	8.918620e-05	2	true
0.455028      	smoothSolver	4.292440e-04	3.900430e-09	2	true	DICPCG	2.731790e-03	8.898160e-05	2	true
0.455731      	smoothSolver	4.360930e-04	4.129710e-09	2	true	DICPCG	2.744410e-03	8.917140e-05	2	true
0.456433      	smoothSolver	4.361510e-04	4.120640e-09	2	true	DICPCG	2.753170e-03	8.797830e-05	2	true
0.457136      	smoothSolver	4.363000e-04	4.313410e-09	2	true	DICPCG	2.791170e-03	9.245520e-05	2	true
0.45785       	smoothSolver	4.436230e-04	4.966460e-09	2	true	DICPCG	2.836910e-03	9.265120e-05	2	true
0.458565      	smoothSolver	4.436120e-04	5.199120e-09	2	true	DICPCG	2.817720e-03	8.965540e-05	2	true
0.459292      	smoothSolver	4.510920e-04	5.797020e-09	2	true	DICPCG	2.911880e-03	1.006970e-04	2	true
0.460019      	smoothSolver	4.511020e-04	5.714070e-09	2	true	DICPCG	2.935280e-03	1.052140e-04	2	true
0.460759      	smoothSolver	4.593800e-04	5.827840e-09	2	true	DICPCG	2.935650e-03	9.175220e-05	2	true
0.461514      	smoothSolver	4.681250e-04	5.723540e-09	2	true	DICPCG	2.977090e-03	8.948050e-05	2	true
0.462283      	smoothSolver	4.773340e-04	5.577730e-09	2	true	DICPCG	3.035410e-03	8.833900e-05	2	true
0.463053      	smoothSolver	4.768260e-04	4.971010e-09	2	true	DICPCG	3.025390e-03	8.889060e-05	2	true
0.463839      	smoothSolver	4.865840e-04	5.133940e-09	2	true	DICPCG	3.072130e-03	8.993660e-05	2	true
0.464643      	smoothSolver	4.974440e-04	5.565950e-09	2	true	DICPCG	3.115760e-03	8.781340e-05	2	true
0.465465      	smoothSolver	5.090610e-04	6.158720e-09	2	true	DICPCG	3.191210e-03	9.009990e-05	2	true
0.466307      	smoothSolver	5.220660e-04	6.912130e-09	2	true	DICPCG	3.276190e-03	9.495620e-05	2	true
0.467171      	smoothSolver	5.365380e-04	7.802260e-09	2	true	DICPCG	3.320480e-03	9.827600e-05	2	true
0.468035      	smoothSolver	5.371470e-04	7.878520e-09	2	true	DICPCG	3.425040e-03	9.893240e-05	2	true
0.468923      	smoothSolver	5.521680e-04	9.145430e-09	2	true	DICPCG	3.553350e-03	9.553400e-05	2	true
0.469837      	smoothSolver	5.682730e-04	1.365480e-10	3	true	DICPCG	3.668070e-03	9.916870e-05	2	true
0.47078       	smoothSolver	5.859240e-04	1.785090e-10	3	true	DICPCG	3.814090e-03	1.159950e-04	2	true
0.471722      	smoothSolver	5.854990e-04	1.879980e-10	3	true	DICPCG	3.841030e-03	1.236610e-04	2	true
0.472697      	smoothSolver	6.057270e-04	2.369740e-10	3	true	DICPCG	3.980730e-03	1.227840e-04	2	true
0.473709      	smoothSolver	6.287430e-04	2.925000e-10	3	true	DICPCG	4.147840e-03	1.141080e-04	2	true
0.47472       	smoothSolver	6.289920e-04	2.821940e-10	3	true	DICPCG	4.172780e-03	1.079510e-04	2	true
0.475773      	smoothSolver	6.549280e-04	3.552730e-10	3	true	DICPCG	4.332030e-03	1.092350e-04	2	true
0.476827      	smoothSolver	6.545220e-04	3.529270e-10	3	true	DICPCG	4.406970e-03	1.105870e-04	2	true
0.47788       	smoothSolver	6.538080e-04	3.582420e-10	3	true	DICPCG	4.450050e-03	1.182300e-04	2	true
0.478933      	smoothSolver	6.522710e-04	3.654300e-10	3	true	DICPCG	4.481180e-03	1.264260e-04	2	true
0.479987      	smoothSolver	6.511180e-04	3.739900e-10	3	true	DICPCG	4.432380e-03	1.361170e-04	2	true
0.48104       	smoothSolver	6.513390e-04	3.826060e-10	3	true	DICPCG	4.439590e-03	1.447100e-04	2	true
0.482093      	smoothSolver	6.519220e-04	3.912940e-10	3	true	DICPCG	4.489150e-03	1.385940e-04	2	true
0.483088      	smoothSolver	6.160210e-04	2.819320e-10	3	true	DICPCG	4.326210e-03	1.319290e-04	2	true
0.484083      	smoothSolver	6.164300e-04	2.912700e-10	3	true	DICPCG	4.289500e-03	1.361560e-04	2	true
0.485078      	smoothSolver	6.172360e-04	3.035800e-10	3	true	DICPCG	4.331050e-03	1.452210e-04	2	true
0.48601       	smoothSolver	5.787470e-04	2.106890e-10	3	true	DICPCG	4.158700e-03	1.445680e-04	2	true
0.486943      	smoothSolver	5.783550e-04	2.150360e-10	3	true	DICPCG	4.199080e-03	1.497670e-04	2	true
0.487876      	smoothSolver	5.785790e-04	2.182480e-10	3	true	DICPCG	4.143190e-03	1.338250e-04	2	true
0.488742      	smoothSolver	5.375500e-04	1.385910e-10	3	true	DICPCG	3.925860e-03	1.177350e-04	2	true
0.489608      	smoothSolver	5.372690e-04	1.387090e-10	3	true	DICPCG	3.985570e-03	1.169190e-04	2	true
0.490474      	smoothSolver	5.365830e-04	1.386630e-10	3	true	DICPCG	3.969460e-03	1.176690e-04	2	true
0.49134       	smoothSolver	5.368890e-04	1.388990e-10	3	true	DICPCG	3.906860e-03	1.187950e-04	2	true
0.492206      	smoothSolver	5.370250e-04	1.385800e-10	3	true	DICPCG	3.884940e-03	1.181350e-04	2	true
0.493072      	smoothSolver	5.363440e-04	1.388010e-10	3	true	DICPCG	3.973940e-03	1.198070e-04	2	true
0.493938      	smoothSolver	5.354510e-04	1.392570e-10	3	true	DICPCG	4.003900e-03	1.281510e-04	2	true
0.494804      	smoothSolver	5.345450e-04	1.393660e-10	3	true	DICPCG	4.009800e-03	1.374120e-04	2	true
0.49567       	smoothSolver	5.335340e-04	1.392270e-10	3	true	DICPCG	4.001210e-03	1.437970e-04	2	true
0.496536      	smoothSolver	5.330580e-04	1.388020e-10	3	true	DICPCG	4.015560e-03	1.555050e-04	2	true
0.497402      	smoothSolver	5.328960e-04	1.383290e-10	3	true	DICPCG	4.016500e-03	1.578260e-04	2	true
0.498268      	smoothSolver	5.323950e-04	1.375260e-10	3	true	DICPCG	3.958540e-03	1.450250e-04	2	true
0.499134      	smoothSolver	5.318440e-04	1.364610e-10	3	true	DICPCG	3.949940e-03	1.321440e-04	2	true
0.5           	smoothSolver	5.316050e-04	1.350830e-10	3	true	DICPCG	4.033860e-03	1.293600e-04	2	true
