# Solver information
# Time              	p_rgh_solver        	p_rgh_initial       	p_rgh_final         	p_rgh_iters         	p_rgh_converged     
1.725               	GAMG	1.163573788950e-01	5.796246024000e-04	1	true
1.73125             	GAMG	1.229194421040e-01	6.102329510870e-04	1	true
1.7375              	GAMG	1.250532491920e-01	6.398066274670e-04	1	true
1.74375             	GAMG	1.272653033280e-01	6.458900632360e-04	1	true
1.75                	GAMG	1.339187471600e-01	6.967756020090e-04	1	true
1.75625             	GAMG	1.351530251000e-01	6.818830903510e-04	1	true
1.7625              	GAMG	1.311603936510e-01	6.515792882710e-04	1	true
1.76875             	GAMG	1.379647987320e-01	6.433437306830e-04	1	true
1.775               	GAMG	1.479532484200e-01	6.460242804260e-04	1	true
1.78125             	GAMG	1.499982204500e-01	7.199303699970e-04	1	true
1.7875              	GAMG	1.543909522780e-01	7.622021644750e-04	1	true
1.79375             	GAMG	1.423278160470e-01	8.057269540410e-04	1	true
1.8                 	GAMG	1.531257477920e-01	8.678307093830e-04	1	true
1.80625             	GAMG	1.473002412240e-01	7.941711865530e-04	1	true
1.8125              	GAMG	1.310873552690e-01	6.801442360440e-04	1	true
1.81875             	GAMG	1.561117325350e-01	5.480421932460e-04	1	true
1.825               	GAMG	1.648328149410e-01	5.864699696880e-04	1	true
1.83125             	GAMG	1.545328454610e-01	5.857903082680e-04	1	true
1.8375              	GAMG	1.364599623100e-01	7.229561632260e-04	1	true
1.84375             	GAMG	1.455302233420e-01	8.278658149600e-04	1	true
1.85                	GAMG	1.523062616290e-01	8.708699530160e-04	1	true
1.85555555556       	GAMG	1.444241818040e-01	7.171437882950e-04	1	true
1.86111111111       	GAMG	1.541612015340e-01	6.875835990800e-04	1	true
1.86666666667       	GAMG	1.623872156360e-01	6.790296709870e-04	1	true
1.87222222222       	GAMG	1.546541890040e-01	6.968371557350e-04	1	true
1.87777777778       	GAMG	1.602099823160e-01	7.709729728560e-04	1	true
1.88333333333       	GAMG	1.575141283430e-01	7.381949229950e-04	1	true
1.88888888889       	GAMG	1.486179043980e-01	6.472463531000e-04	1	true
1.89444444444       	GAMG	1.670784494320e-01	6.967594465940e-04	1	true
1.9                 	GAMG	1.817964328850e-01	7.015685783570e-04	1	true
1.905               	GAMG	1.689427996100e-01	6.730697388700e-04	1	true
1.91                	GAMG	1.675896542260e-01	7.468674533900e-04	1	true
