# Solver information
# Time        	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
1.92029       	DICPCG	1.000070e-02	2.330590e-04	1	true
1.9256        	DICPCG	1.016910e-02	2.163840e-04	1	true
1.93132       	DICPCG	1.122570e-02	2.283920e-04	1	true
1.93705       	DICPCG	1.161900e-02	2.493900e-04	1	true
1.94229       	DICPCG	1.053210e-02	2.322600e-04	1	true
1.94754       	DICPCG	1.032400e-02	2.116740e-04	1	true
1.95279       	DICPCG	1.050000e-02	2.151620e-04	1	true
1.95803       	DICPCG	1.029510e-02	2.126280e-04	1	true
1.96328       	DICPCG	1.020180e-02	2.158780e-04	1	true
1.96787       	DICPCG	9.149050e-03	1.902700e-04	1	true
1.97322       	DICPCG	1.063620e-02	1.894660e-04	1	true
1.97858       	DICPCG	1.075290e-02	2.077550e-04	1	true
1.98393       	DICPCG	1.084960e-02	1.953690e-04	1	true
1.98929       	DICPCG	1.112330e-02	1.905130e-04	1	true
1.99464       	DICPCG	1.109000e-02	1.898290e-04	1	true
2             	DICPCG	1.140840e-02	2.144350e-04	1	true
2.00526       	DICPCG	1.108480e-02	2.618030e-04	1	true
2.01053       	DICPCG	1.102580e-02	2.512190e-04	1	true
2.01612       	DICPCG	1.161480e-02	2.303430e-04	1	true
2.02136       	DICPCG	1.111370e-02	2.212450e-04	1	true
2.02741       	DICPCG	1.284460e-02	2.590660e-04	1	true
2.03225       	DICPCG	1.057390e-02	2.337990e-04	1	true
2.03709       	DICPCG	1.051490e-02	2.292010e-04	1	true
2.04233       	DICPCG	1.125420e-02	2.463420e-04	1	true
2.04757       	DICPCG	1.143020e-02	2.987640e-04	1	true
