# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   	epsilon_solver	epsilon_initial	epsilon_final 	epsilon_iters 	epsilon_converged
45            	DILUPBiCGStab	9.050900e-03	2.174710e-09	4	2.170600e-02	9.060580e-09	4	false	DILUPBiCGStab	1.448810e-02	2.940550e-10	3	true	GAMG	2.051180e-02	3.795790e-05	3	true	DILUPBiCGStab	8.425960e-03	1.983600e-10	3	true
46            	DILUPBiCGStab	9.022760e-03	1.384500e-09	4	2.193530e-02	9.930280e-09	4	false	DILUPBiCGStab	1.431450e-02	2.099310e-10	3	true	GAMG	2.068210e-02	4.175680e-05	3	true	DILUPBiCGStab	8.302340e-03	8.894470e-11	3	true
47            	DILUPBiCGStab	9.034840e-03	1.185570e-09	4	2.225240e-02	8.413150e-09	4	false	DILUPBiCGStab	1.385560e-02	2.170490e-10	3	true	GAMG	2.108010e-02	4.435130e-05	3	true	DILUPBiCGStab	8.271960e-03	2.504650e-09	3	true
48            	DILUPBiCGStab	9.047030e-03	9.778540e-09	3	2.253780e-02	9.266060e-09	4	false	DILUPBiCGStab	1.380850e-02	2.066100e-10	3	true	GAMG	2.123970e-02	4.571420e-05	3	true	DILUPBiCGStab	8.272370e-03	4.624980e-10	3	true
49            	DILUPBiCGStab	9.042760e-03	9.883030e-09	3	2.288600e-02	8.058030e-09	4	false	DILUPBiCGStab	1.357600e-02	2.280900e-10	3	true	GAMG	2.099880e-02	4.728230e-05	3	true	DILUPBiCGStab	8.257830e-03	2.220390e-10	3	true
50            	DILUPBiCGStab	9.059900e-03	9.806470e-09	3	2.323180e-02	9.531370e-09	4	false	DILUPBiCGStab	1.347610e-02	2.530260e-10	3	true	GAMG	2.105900e-02	4.658390e-05	3	true	DILUPBiCGStab	8.220230e-03	1.257190e-09	3	true
51            	DILUPBiCGStab	9.068320e-03	9.356890e-09	3	2.361270e-02	9.761370e-09	4	false	DILUPBiCGStab	1.330540e-02	2.519620e-10	3	true	GAMG	2.076990e-02	4.726110e-05	3	true	DILUPBiCGStab	8.248340e-03	3.481800e-10	3	true
52            	DILUPBiCGStab	9.091730e-03	9.240970e-09	3	2.400160e-02	8.648480e-09	4	false	DILUPBiCGStab	1.314320e-02	2.627000e-10	3	true	GAMG	2.104510e-02	4.820950e-05	3	true	DILUPBiCGStab	8.235940e-03	3.109830e-10	3	true
53            	DILUPBiCGStab	9.102240e-03	9.092410e-09	3	2.432580e-02	9.756260e-09	4	false	DILUPBiCGStab	1.302930e-02	2.887070e-10	3	true	GAMG	2.079960e-02	4.920730e-05	3	true	DILUPBiCGStab	8.198060e-03	2.250570e-10	3	true
54            	DILUPBiCGStab	9.122520e-03	9.009370e-09	3	2.471950e-02	7.831690e-09	4	false	DILUPBiCGStab	1.286330e-02	2.788520e-10	3	true	GAMG	2.087850e-02	5.001570e-05	3	true	DILUPBiCGStab	8.181740e-03	2.082210e-10	3	true
55            	DILUPBiCGStab	9.135030e-03	8.911650e-09	3	2.507700e-02	8.104980e-09	4	false	DILUPBiCGStab	1.277790e-02	2.885930e-10	3	true	GAMG	2.083490e-02	5.214140e-05	3	true	DILUPBiCGStab	8.237740e-03	6.973320e-10	3	true
56            	DILUPBiCGStab	9.154440e-03	8.829580e-09	3	2.547540e-02	6.619890e-09	4	false	DILUPBiCGStab	1.265360e-02	2.751900e-10	3	true	GAMG	2.088780e-02	5.214280e-05	3	true	DILUPBiCGStab	8.230620e-03	2.464830e-10	3	true
57            	DILUPBiCGStab	9.162700e-03	8.733990e-09	3	2.587390e-02	6.677070e-09	4	false	DILUPBiCGStab	1.259000e-02	2.760600e-10	3	true	GAMG	2.081560e-02	5.446220e-05	3	true	DILUPBiCGStab	8.252480e-03	8.175820e-10	3	true
58            	DILUPBiCGStab	9.178590e-03	8.609050e-09	3	2.627520e-02	5.550750e-09	4	false	DILUPBiCGStab	1.248770e-02	2.723010e-10	3	true	GAMG	2.083750e-02	5.441940e-05	3	true	DILUPBiCGStab	8.252370e-03	5.800570e-10	3	true
59            	DILUPBiCGStab	9.181730e-03	8.463550e-09	3	2.670050e-02	5.531170e-09	4	false	DILUPBiCGStab	1.242370e-02	2.797400e-10	3	true	GAMG	2.080170e-02	5.763530e-05	3	true	DILUPBiCGStab	8.239740e-03	1.470500e-10	3	true
60            	DILUPBiCGStab	9.192750e-03	8.268910e-09	3	2.716470e-02	4.658550e-09	4	false	DILUPBiCGStab	1.225360e-02	2.849430e-10	3	true	GAMG	2.085200e-02	5.617360e-05	3	true	DILUPBiCGStab	8.231340e-03	1.552040e-10	3	true
61            	DILUPBiCGStab	9.200980e-03	8.141760e-09	3	2.758870e-02	4.431140e-09	4	false	DILUPBiCGStab	1.223030e-02	3.048470e-10	3	true	GAMG	2.077180e-02	5.895040e-05	3	true	DILUPBiCGStab	8.276110e-03	1.141830e-10	3	true
62            	DILUPBiCGStab	9.204110e-03	8.060990e-09	3	2.812560e-02	4.031950e-09	4	false	DILUPBiCGStab	1.214120e-02	3.250290e-10	3	true	GAMG	2.082740e-02	5.925600e-05	3	true	DILUPBiCGStab	8.252580e-03	1.083300e-10	3	true
63            	DILUPBiCGStab	9.205040e-03	7.969930e-09	3	2.857950e-02	3.538520e-09	4	false	DILUPBiCGStab	1.209920e-02	3.662070e-10	3	true	GAMG	2.081990e-02	5.898060e-05	3	true	DILUPBiCGStab	8.236620e-03	1.092120e-10	3	true
64            	DILUPBiCGStab	9.199630e-03	7.966540e-09	3	2.907190e-02	3.418800e-09	4	false	DILUPBiCGStab	1.202940e-02	3.906140e-10	3	true	GAMG	2.062620e-02	5.904740e-05	3	true	DILUPBiCGStab	8.274800e-03	1.169030e-10	3	true
65            	DILUPBiCGStab	9.196160e-03	7.934530e-09	3	2.960610e-02	3.202130e-09	4	false	DILUPBiCGStab	1.203080e-02	4.231940e-10	3	true	GAMG	2.052960e-02	5.831810e-05	3	true	DILUPBiCGStab	8.255040e-03	1.227560e-10	3	true
66            	DILUPBiCGStab	9.177620e-03	7.855080e-09	3	3.008830e-02	2.967690e-09	4	false	DILUPBiCGStab	1.202130e-02	4.614230e-10	3	true	GAMG	2.035610e-02	5.924890e-05	3	true	DILUPBiCGStab	8.193300e-03	1.229700e-10	3	true
67            	DILUPBiCGStab	9.159200e-03	7.871830e-09	3	3.071290e-02	2.874730e-09	4	false	DILUPBiCGStab	1.196370e-02	4.764960e-10	3	true	GAMG	2.047250e-02	5.927000e-05	3	true	DILUPBiCGStab	8.165660e-03	1.283510e-10	3	true
68            	DILUPBiCGStab	9.141140e-03	7.767180e-09	3	3.126980e-02	2.818180e-09	4	false	DILUPBiCGStab	1.199190e-02	5.032680e-10	3	true	GAMG	2.019180e-02	5.928980e-05	3	true	DILUPBiCGStab	8.170610e-03	1.301500e-10	3	true
69            	DILUPBiCGStab	9.116960e-03	7.720680e-09	3	3.175760e-02	2.692530e-09	4	false	DILUPBiCGStab	1.199210e-02	5.193950e-10	3	true	GAMG	1.987830e-02	5.974550e-05	3	true	DILUPBiCGStab	8.165160e-03	1.358120e-10	3	true
70            	DILUPBiCGStab	9.095200e-03	7.726550e-09	3	3.226950e-02	2.595560e-09	4	false	DILUPBiCGStab	1.201730e-02	5.339350e-10	3	true	GAMG	1.981030e-02	5.875570e-05	3	true	DILUPBiCGStab	8.134290e-03	1.391470e-10	3	true
71            	DILUPBiCGStab	9.060720e-03	7.647950e-09	3	3.280060e-02	2.500470e-09	4	false	DILUPBiCGStab	1.202360e-02	5.384200e-10	3	true	GAMG	1.931220e-02	5.756600e-05	3	true	DILUPBiCGStab	8.155100e-03	1.486560e-10	3	true
72            	DILUPBiCGStab	9.038550e-03	7.630540e-09	3	3.329600e-02	2.434220e-09	4	false	DILUPBiCGStab	1.201990e-02	5.563890e-10	3	true	GAMG	1.923490e-02	5.884930e-05	3	true	DILUPBiCGStab	8.148930e-03	1.518920e-10	3	true
73            	DILUPBiCGStab	9.016980e-03	7.614260e-09	3	3.383090e-02	2.309200e-09	4	false	DILUPBiCGStab	1.206970e-02	5.781460e-10	3	true	GAMG	1.897400e-02	6.031370e-05	3	true	DILUPBiCGStab	8.174880e-03	1.546180e-10	3	true
74            	DILUPBiCGStab	8.992050e-03	7.516650e-09	3	3.437750e-02	2.248760e-09	4	false	DILUPBiCGStab	1.211470e-02	5.970840e-10	3	true	GAMG	1.901220e-02	6.239620e-05	3	true	DILUPBiCGStab	8.169740e-03	1.624050e-10	3	true
75            	DILUPBiCGStab	8.962610e-03	7.382720e-09	3	3.487730e-02	2.189780e-09	4	false	DILUPBiCGStab	1.212520e-02	6.242520e-10	3	true	GAMG	1.883280e-02	6.557960e-05	3	true	DILUPBiCGStab	8.186280e-03	1.654380e-10	3	true
76            	DILUPBiCGStab	8.942690e-03	7.192380e-09	3	3.532750e-02	2.138800e-09	4	false	DILUPBiCGStab	1.217970e-02	6.534770e-10	3	true	GAMG	1.865600e-02	6.664390e-05	3	true	DILUPBiCGStab	8.220890e-03	1.694560e-10	3	true
77            	DILUPBiCGStab	8.929000e-03	7.115110e-09	3	3.571820e-02	2.085030e-09	4	false	DILUPBiCGStab	1.224660e-02	6.912980e-10	3	true	GAMG	1.863240e-02	6.499010e-05	3	true	DILUPBiCGStab	8.291620e-03	1.701190e-10	3	true
78            	DILUPBiCGStab	8.911870e-03	7.017890e-09	3	3.609230e-02	2.031070e-09	4	false	DILUPBiCGStab	1.229300e-02	7.168410e-10	3	true	GAMG	1.876340e-02	6.279350e-05	3	true	DILUPBiCGStab	8.316780e-03	1.767390e-10	3	true
79            	DILUPBiCGStab	8.892090e-03	6.958670e-09	3	3.639260e-02	1.951500e-09	4	false	DILUPBiCGStab	1.234700e-02	7.440120e-10	3	true	GAMG	1.869290e-02	6.311300e-05	3	true	DILUPBiCGStab	8.369180e-03	1.891730e-10	3	true
80            	DILUPBiCGStab	8.878810e-03	6.830870e-09	3	3.666520e-02	1.863030e-09	4	false	DILUPBiCGStab	1.240270e-02	7.774900e-10	3	true	GAMG	1.862910e-02	6.055850e-05	3	true	DILUPBiCGStab	8.394280e-03	1.978050e-10	3	true
81            	DILUPBiCGStab	8.867740e-03	6.769030e-09	3	3.691760e-02	1.764370e-09	4	false	DILUPBiCGStab	1.246990e-02	8.059920e-10	3	true	GAMG	1.859940e-02	5.879320e-05	3	true	DILUPBiCGStab	8.439190e-03	2.091180e-10	3	true
82            	DILUPBiCGStab	8.862350e-03	6.589590e-09	3	3.714790e-02	1.709640e-09	4	false	DILUPBiCGStab	1.253570e-02	8.290140e-10	3	true	GAMG	1.861770e-02	5.545320e-05	3	true	DILUPBiCGStab	8.445500e-03	2.238320e-10	3	true
83            	DILUPBiCGStab	8.852560e-03	6.496960e-09	3	3.731520e-02	1.629580e-09	4	false	DILUPBiCGStab	1.259040e-02	8.658420e-10	3	true	GAMG	1.865740e-02	5.218140e-05	3	true	DILUPBiCGStab	8.459310e-03	2.333670e-10	3	true
84            	DILUPBiCGStab	8.842780e-03	6.438690e-09	3	3.749500e-02	1.600780e-09	4	false	DILUPBiCGStab	1.262490e-02	8.997750e-10	3	true	GAMG	1.879760e-02	4.871760e-05	3	true	DILUPBiCGStab	8.463470e-03	2.513280e-10	3	true
85            	DILUPBiCGStab	8.832180e-03	6.680390e-09	3	3.766240e-02	1.542640e-09	4	false	DILUPBiCGStab	1.270390e-02	9.360440e-10	3	true	GAMG	1.895150e-02	4.454320e-05	3	true	DILUPBiCGStab	8.474280e-03	2.672540e-10	3	true
86            	DILUPBiCGStab	8.814700e-03	7.021420e-09	3	3.784850e-02	1.502090e-09	4	false	DILUPBiCGStab	1.271860e-02	9.797710e-10	3	true	GAMG	1.914080e-02	4.117850e-05	3	true	DILUPBiCGStab	8.482200e-03	2.857170e-10	3	true
87            	DILUPBiCGStab	8.792920e-03	7.222250e-09	3	3.808080e-02	1.457690e-09	4	false	DILUPBiCGStab	1.277370e-02	1.020270e-09	3	true	GAMG	1.921950e-02	3.982370e-05	3	true	DILUPBiCGStab	8.475500e-03	3.019620e-10	3	true
88            	DILUPBiCGStab	8.766890e-03	7.327630e-09	3	3.840900e-02	1.429300e-09	4	false	DILUPBiCGStab	1.277640e-02	1.047530e-09	3	true	GAMG	1.940880e-02	4.005490e-05	3	true	DILUPBiCGStab	8.483760e-03	3.251270e-10	3	true
